gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
006307,03,000208,2004-08-19,2013-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEARS HOLDINGS CORP,SHLDQ,812350106,0001310067,5311,452111
001878,01,000208,2004-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTODESK INC,ADSK,052769106,0000769397,7370,519130
001164,10,000208,2004-12-20,2006-01-10,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCI INC,MCIP,552691107,0000723527,4813,517110
004439,90,000208,2004-12-20,2007-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,TELEFONAKTIEBOLAGET LM ERICS,ERIC,294821608,0000717826,3663,334220
124442,01,000208,2004-12-20,2007-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,XM SATELLITE RADIO HLDGS INC,XMSR,983759101,0001091530,4832,515112
030662,01,000208,2004-12-20,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIRIUS XM HOLDINGS INC,SIRI,82968B103,0000908937,4832,516110
153668,01,000208,2004-12-20,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIRGIN MEDIA INC,VMED,92769L101,0001270400,4841,515210
160549,01,000208,2004-12-20,2009-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY GLOBAL LTD,LBTYK,G61188101,0001570585,4841,517111
149318,01,000208,2004-12-20,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,WYNN RESORTS LTD,WYNN,983134107,0001174922,7990,721120
111864,01,000208,2004-12-29,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COGNIZANT TECH SOLUTIONS,CTSH,192446102,0001058290,7370,541512
013599,01,000208,2005-07-06,2019-11-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,CELGENE CORP,CELG,151020104,0000816284,2834,325412
024473,01,000208,2005-08-15,2007-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEPRACOR INC,SEPR,817315104,0000877357,2834,325412
117768,01,000208,2005-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NVIDIA CORP,NVDA,67066G104,0001045810,3674,334413
160329,01,000208,2005-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALPHABET INC,GOOGL,02079K305,0001652044,7370,518210
122841,01,000208,2005-12-21,2006-12-11,Nasdaq 100,LGCAP,I0028,,,EXCHG,RED HAT INC,RHT,756577102,0001087423,7372,511210
029150,01,000208,2005-12-21,2006-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,URBAN OUTFITTERS INC,URBN,917047102,0000912615,5651,458110
061355,01,000208,2005-12-21,2007-12-04,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHECKFREE CORP,CKFR,162813109,0000949341,7389,561990
029108,01,000208,2005-12-21,2007-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,PATTERSON-UTI ENERGY INC,PTEN,703481101,0000889900,1381,213111
001111,02,000208,2005-12-21,2008-07-09,Nasdaq 100,LGCAP,I0028,,,EXCHG,ACTIVISION INC,ATVI.1,004930202,,7372,511210
064156,01,000208,2005-12-21,2008-11-11,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER WORLDWIDE INC,MWW,611742107,0001020416,7370,519130
013421,01,000208,2005-12-21,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,CADENCE DESIGN SYSTEMS INC,CDNS,127387108,0000813672,7372,513210
164296,01,000208,2005-12-21,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,WARNER BROS DISCOVERY INC,WBD,934423104,0001437107,4841,516210
140902,02,000208,2005-12-21,2011-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,NII HOLDINGS INC,NIHD,62913F201,0001037016,4812,517312
126296,02,000208,2005-12-21,2014-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXPEDIA GROUP INC,EXPE,30212P303,0001324424,4700,561510
013003,02,000208,2006-01-04,2011-12-06,Nasdaq 100,LGCAP,I0028,,,EXCHG,JOY GLOBAL INC,JOY,481165108,0000801898,3532,333131
024843,01,000208,2006-01-11,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMYLIN PHARMACEUTICALS INC,AMLN,032346108,0000881464,2834,325412
136725,01,000208,2006-02-08,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTUITIVE SURGICAL INC,ISRG,46120E602,0001035267,3845,334510
125595,01,000208,2006-04-21,2009-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,AKAMAI TECHNOLOGIES INC,AKAM,00971T101,0001086222,7370,519290
030024,01,000208,2006-05-17,2011-05-26,Nasdaq 100,LGCAP,I0028,,,EXCHG,MILLICOM INTL CELLULAR SA,TIGO,L6388F110,0000912958,4812,517112
174147,01,000208,2006-10-23,2018-12-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,QURATE RETAIL INC,QRTEA,74915M100,0001355096,5961,449110
030059,01,000208,2006-12-12,2007-03-07,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERN EAGLE OUTFITTERS INC,AEO,02553E106,0000919012,5600,4481
024344,01,000208,2006-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,0000875320,2834,325412
013440,03,000208,2006-12-20,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEVEL 3 COMMUNICATIONS INC,LVLT,52729N308,0000794323,4813,517110
211009,90,000208,2006-12-20,2012-12-11,Nasdaq 100,LGCAP,I0028,,,EXCHG,INFOSYS LTD,INFY,456788108,0001067491,7371,541511
102696,02,000208,2007-02-06,2010-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,LOGITECH INTERNATIONAL SA,LOGI,H50430232,0001032975,3577,334118
064835,90,000208,2007-02-14,2009-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,RYANAIR HOLDINGS PLC,RYAAY,783513203,0001038683,4512,481111
010795,04,000208,2007-03-08,2008-07-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,UNITED AIRLINES HOLDINGS INC,UAL,910047109,0000100517,4512,481111
023945,01,000208,2007-06-05,2011-07-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,CEPHALON INC,CEPH,156708109,0000873364,2834,325412
004864,01,000208,2007-07-18,2010-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOSTER WHEELER AG,FWLT,H27178104,0001130385,1600,2371
061494,01,000208,2007-10-03,2019-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,HENRY SCHEIN INC,HSIC,806407102,0001000228,5047,423450
114484,04,000208,2007-10-10,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEAP WIRELESS INTL INC,LEAP.5,521863308,0001065049,4812,517210
164532,90,000208,2007-12-05,2022-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,BAIDU INC,BIDU,056752108,0001329099,7370,519130
164283,90,000208,2007-12-28,2009-01-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOCUS MEDIA HOLDING LTD,FMCN,34415V109,0001330017,7310,541890
024316,01,000208,2007-12-28,2009-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER BEVERAGE CORP,MNST,61174X109,0000865752,2086,312111
064030,01,000208,2007-12-28,2009-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,STEEL DYNAMICS INC,STLD,858119100,0001022671,3312,331110
020904,01,000208,2007-12-28,2010-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,HOLOGIC INC,HOLX,436440101,0000859737,3844,334517
063527,01,000208,2007-12-28,2016-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,STERICYCLE INC,SRCL,858912108,0000861878,4955,562211
012206,01,000208,2008-05-07,2015-07-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,DIRECTV,DTV.2,25490A309,0001465112,4841,515210
003310,01,000208,2008-05-20,2018-11-06,Nasdaq 100,LGCAP,I0028,,,EXCHG,CA INC,CA.1,12673P105,0000356028,7372,511210
180405,01,000208,2008-07-10,2023-07-16,Nasdaq 100,LGCAP,I0028,,,EXCHG,ACTIVISION BLIZZARD INC,ATVI,00507V109,0000718877,7372,511210
028477,01,000208,2008-07-23,2011-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,FLIR SYSTEMS INC,FLIR,302445101,0000354908,3812,334511
150937,01,000208,2008-11-12,2018-12-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEAGATE TECHNOLOGY HOLDINGS,STX,G7997R103,0001137789,3572,334112
001891,01,000208,2008-12-30,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,518210
009248,01,000208,2008-12-30,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ROSS STORES INC,ROST,778296103,0000745732,5651,458110
028180,01,000208,2008-12-30,,Nasdaq 100,LGCAP,I0028,,,EXCHG,O'REILLY AUTOMOTIVE INC,ORLY,67103H107,0000898173,5531,441330
061871,01,000208,2008-12-30,2009-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,PHARMACEUTICAL PROD DEV INC,PPDI,717124101,0001003124,8731,541711
005783,01,000208,2008-12-30,2010-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,0000728535,4213,484121
029150,01,000208,2008-12-30,2011-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,URBAN OUTFITTERS INC,URBN,917047102,0000912615,5651,458110
138205,01,000208,2008-12-30,2011-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,ILLUMINA INC,ILMN,452327109,0001110803,3826,334516
175404,01,000208,2008-12-30,2012-04-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,FIRST SOLAR INC,FSLR,336433107,0001274494,3674,334413
175163,01,000208,2008-12-30,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,WARNER CHILCOTT PLC,WCRX,G94368100,0001323854,2834,325412
118577,01,000208,2008-12-30,2013-08-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIFE TECHNOLOGIES CORP,LIFE.3,53217V109,0001073431,2836,325414
014256,01,000208,2008-12-30,2014-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,0000743316,3674,334413
012886,04,000208,2009-01-21,2019-03-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,TWENTY-FIRST CENTURY FOX INC,TFCFA,90130A309,0001308161,4888,515210
012850,01,000208,2009-07-17,2021-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,CERNER CORP,CERN,156782104,0000804753,7373,541512
119314,01,000208,2009-10-29,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BOOKING HOLDINGS INC,BKNG,09857L108,0001075531,4700,561510
063186,01,000208,2009-12-22,2011-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,QIAGEN NV,QGEN,N72482149,0001015820,3826,334516
153668,01,000208,2009-12-22,2013-06-04,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIRGIN MEDIA INC,VMED,92769L101,0001270400,4841,515210
014650,01,000208,2009-12-22,2013-07-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,BMC SOFTWARE INC,BMC,055921100,0000835729,7372,511210
061513,01,000208,2009-12-22,2016-03-15,Nasdaq 100,LGCAP,I0028,,,EXCHG,SANDISK CORP,SNDK,80004C101,0001000180,3572,334112
007116,01,000208,2009-12-22,2017-10-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,MATTEL INC,MAT,577081102,0000063276,3942,339930
014894,90,000208,2009-12-22,2018-12-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,VODAFONE GROUP PUBLIC LTD,VOD,92857W308,0000839923,4812,517112
007637,01,000208,2009-12-22,2019-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIATRIS INC,VTRS,92556V106,0001792044,2834,325412
007343,01,000208,2010-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICRON TECHNOLOGY INC,MU,595112103,0000723125,3674,334413
031587,01,000208,2010-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR TREE INC,DLTR,256746108,0000935703,5331,455219
157413,90,000208,2010-12-20,2012-07-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,TRIP COM GROUP LTD,TCOM,89677Q107,0001269238,4700,561510
147579,01,000208,2010-12-20,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETFLIX INC,NFLX,64110L106,0001065280,7841,516210
121077,01,000208,2010-12-20,2014-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,F5 INC,FFIV,315616102,0001048695,7373,541512
024893,01,000208,2010-12-20,2016-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,WHOLE FOODS MARKET INC,WFM,966837106,0000865436,5411,445110
125595,01,000208,2010-12-20,2017-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,AKAMAI TECHNOLOGIES INC,AKAM,00971T101,0001086222,7370,519290
062263,01,000208,2011-04-04,2021-07-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALEXION PHARMACEUTICALS INC,ALXN,015351109,0000899866,2836,325414
028877,01,000208,2011-05-27,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,KEURIG DR PEPPER INC,KDP,49271M100,0001418135,2080,311930
030662,01,000208,2011-07-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIRIUS XM HOLDINGS INC,SIRI,82968B103,0000908937,4832,516110
024782,01,000208,2011-12-07,2013-06-05,Nasdaq 100,LGCAP,I0028,,,EXCHG,PERRIGO CO PLC,PRGO,G97822103,0001585364,2834,325412
024316,01,000208,2011-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER BEVERAGE CORP,MNST,61174X109,0000865752,2086,312111
180711,01,000208,2011-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROADCOM INC,AVGO,11135F101,0001730168,3674,334413
205692,92,000208,2011-12-19,2013-11-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,RANDGOLD RESOURCES LTD,GOLD.3,752344309,0001175580,1040,212221
028118,01,000208,2011-12-19,2013-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOSSIL GROUP INC,FOSL,34988V106,0000883569,3873,334519
061685,01,000208,2011-12-19,2013-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,NUANCE COMMUNICATIONS INC,NUAN,67020Y100,0001002517,7372,511210
010499,01,000208,2012-04-23,,Nasdaq 100,LGCAP,I0028,,,EXCHG,TEXAS INSTRUMENTS INC,TXN,882508104,0000097476,3674,334413
165675,01,000208,2012-05-30,2017-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIACOM INC,VIAB,92553P201,0001339947,4833,515120
142953,01,000208,2012-07-24,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONDELEZ INTERNATIONAL INC,MDLZ,609207105,0001103982,2052,311821
170617,01,000208,2012-12-12,,Nasdaq 100,LGCAP,I0028,,,EXCHG,META PLATFORMS INC,META,30303M102,0001326801,7370,519290
001632,01,000208,2012-12-24,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,334413
023812,01,000208,2012-12-24,,Nasdaq 100,LGCAP,I0028,,,EXCHG,REGENERON PHARMACEUTICALS,REGN,75886F107,0000872589,2834,325412
180652,01,000208,2012-12-24,,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERISK ANALYTICS INC,VRSK,92345Y106,0001442145,8742,541611
032280,01,000208,2012-12-24,2013-03-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,STARZ,STRZA,85571Q102,0001507934,4833,515120
138743,01,000208,2012-12-24,2015-03-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,EQUINIX INC,EQIX,29444U700,0001101239,6798,531190
031616,01,000208,2012-12-24,2015-07-26,Nasdaq 100,LGCAP,I0028,,,EXCHG,CATAMARAN CORP,CTRX,148887102,0001363851,7372,511210
121382,01,000208,2012-12-24,2017-03-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,SBA COMMUNICATIONS CORP,SBAC,78410G104,0001034054,6798,531190
164296,01,000208,2012-12-24,2017-12-15,Nasdaq 100,LGCAP,I0028,,,EXCHG,WARNER BROS DISCOVERY INC,WBD,934423104,0001437107,4841,516210
011399,01,000208,2012-12-24,2020-10-16,Nasdaq 100,LGCAP,I0028,,,EXCHG,WESTERN DIGITAL CORP,WDC,958102105,0000106040,3572,334112
160549,01,000208,2012-12-24,2020-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY GLOBAL LTD,LBTYK,G61188101,0001570585,4841,517111
012978,01,000208,2013-03-20,2015-07-02,Nasdaq 100,LGCAP,I0028,,,EXCHG,KRAFT FOODS GROUP INC,KRFT,50076Q106,0001545158,2000,311
017010,01,000208,2013-06-05,2016-04-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY MEDIA SIRIUSXM GROUP,LSXMK,531229813,,4832,516110
147579,01,000208,2013-06-06,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETFLIX INC,NFLX,64110L106,0001065280,7841,516210
184996,01,000208,2013-07-15,,Nasdaq 100,LGCAP,I0028,,,EXCHG,TESLA INC,TSLA,88160R101,0001318605,3711,336111
126136,03,000208,2013-07-30,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHARTER COMMUNICATIONS INC,CHTR,16119P108,0001091667,4841,515210
028877,01,000208,2013-08-29,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,KEURIG DR PEPPER INC,KDP,49271M100,0001418135,2080,311930
063987,93,000208,2013-10-30,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,VEON LTD,VEON,91822M502,0001468091,4812,517112
028930,02,000208,2013-11-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MARRIOTT INTL INC,MAR,571903202,0001048286,7011,721110
138205,01,000208,2013-12-23,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ILLUMINA INC,ILMN,452327109,0001110803,3826,334516
184725,01,000208,2013-12-23,2017-02-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,NXP SEMICONDUCTORS NV,NXPI,N6596X109,0001413447,3674,334413
199356,01,000208,2013-12-23,2017-05-03,Nasdaq 100,LGCAP,I0028,,,EXCHG,TRIPADVISOR INC,TRIP,896945201,0001526520,7370,519290
029736,01,000208,2013-12-23,2017-12-15,Nasdaq 100,LGCAP,I0028,,,EXCHG,TRACTOR SUPPLY CO,TSCO,892356106,0000916365,5200,459999
060900,01,000208,2013-12-23,2018-07-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,DISH NETWORK CORP,DISH,25470M109,0001001082,4841,516210
160329,03,000208,2014-04-03,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALPHABET INC,GOOGL,02079K107,0001652044,7370,518210
017010,03,000208,2014-07-30,2016-04-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY MEDIA SIRIUSXM GROUP,LSXMK,531229789,,4832,516110
013664,01,000208,2014-10-15,2018-03-11,Nasdaq 100,LGCAP,I0028,,,EXCHG,GCI LIBERTY INC,GLIBA,36164V305,0000808461,4812,517312
006565,01,000208,2014-12-22,,Nasdaq 100,LGCAP,I0028,,,EXCHG,LAM RESEARCH CORP,LRCX,512807108,0000707549,3559,333242
016721,01,000208,2014-12-22,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ELECTRONIC ARTS INC,EA,285512109,0000712515,7372,513210
003226,02,000208,2014-12-22,2015-12-11,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMCAST CORP,CMCSA,20030N200,0001166691,4841,516210
012886,01,000208,2014-12-22,2019-03-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,TWENTY-FIRST CENTURY FOX INC,TFCFA,90130A408,0001308161,4888,515210
001045,04,000208,2014-12-22,2020-04-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,481111
011264,01,000208,2015-03-23,,Nasdaq 100,LGCAP,I0028,,,EXCHG,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,0001618921,5912,456110
024724,01,000208,2015-07-02,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY LATIN AMERICA LTD,LILAK,G9001E102,0001712184,4841,516210
024724,02,000208,2015-07-02,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY LATIN AMERICA LTD,LILAK,G9001E128,0001712184,4841,516210
005568,04,000208,2015-07-03,,Nasdaq 100,LGCAP,I0028,,,EXCHG,KRAFT HEINZ CO,KHC,500754106,0001637459,2030,31142
122257,01,000208,2015-07-28,2020-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,0001048477,2836,325414
019744,90,000208,2015-07-29,2023-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,JD.COM INC,JD,47215P106,0001549802,5961,449210
001327,01,000208,2015-08-05,2022-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,334413
029127,01,000208,2015-10-07,2021-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,INCYTE CORP,INCY,45337C102,0000879169,2836,325414
024616,01,000208,2015-11-11,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAYPAL HOLDINGS INC,PYPL,70450Y103,0001633917,7389,522320
017874,01,000208,2015-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,T-MOBILE US INC,TMUS,872590104,0001283699,4812,517112
063645,01,000208,2015-12-21,2016-07-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,ENDO INTERNATIONAL PLC,ENDPQ,G30401106,0001593034,2834,325412
104432,01,000208,2015-12-21,2017-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,NORWEGIAN CRUISE LINE HLDGS,NCLH,G66721104,0001513761,4400,483112
126296,02,000208,2015-12-21,2020-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXPEDIA GROUP INC,EXPE,30212P303,0001324424,4700,561510
178704,01,000208,2015-12-21,2020-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,ULTA BEAUTY INC,ULTA,90384S303,0001403568,5990,456120
014256,01,000208,2015-12-21,2021-08-25,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,0000743316,3674,334413
157413,90,000208,2015-12-21,2021-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,TRIP COM GROUP LTD,TCOM,89677Q107,0001269238,4700,561510
002574,01,000208,2016-02-26,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CSX CORP,CSX,126408103,0000277948,4011,482111
137435,90,000208,2016-03-16,2022-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETEASE INC,NTES,64110W102,0001110646,7372,513210
027186,01,000208,2016-04-18,2016-06-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATLANTA BRAVES HOLDINGS INC,BATRK,047726104,0001958140,7900,711211
027186,03,000208,2016-04-18,2016-06-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATLANTA BRAVES HOLDINGS INC,BATRK,047726302,0001958140,7900,711211
027187,01,000208,2016-04-18,2016-06-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY MEDIA FORMULA ONE,FWONK,531229771,,7948,711212
027187,03,000208,2016-04-18,2016-06-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY MEDIA FORMULA ONE,FWONK,531229755,,7948,711212
013700,01,000208,2016-06-22,2018-11-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,DENTSPLY SIRONA INC,XRAY,24906P109,0000818479,3843,339114
027965,01,000208,2016-07-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROCHIP TECHNOLOGY INC,MCHP,595017104,0000827054,3674,334413
212340,90,000208,2016-10-19,2018-12-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,SHIRE PLC,SHPG,82481R106,0000936402,2836,325414
003062,01,000208,2016-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CINTAS CORP,CTAS,172908105,0000723254,7200,812331
006304,01,000208,2016-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,KLA CORP,KLAC,482480100,0000319201,3827,333314
024724,01,000208,2016-12-19,2018-01-02,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY LATIN AMERICA LTD,LILAK,G9001E102,0001712184,4841,516210
024724,02,000208,2016-12-19,2018-01-02,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY LATIN AMERICA LTD,LILAK,G9001E128,0001712184,4841,516210
020904,01,000208,2016-12-19,2018-12-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,HOLOGIC INC,HOLX,436440101,0000859737,3844,334517
005518,01,000208,2016-12-19,2019-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,HASBRO INC,HAS,418056107,0000046080,3944,339930
005783,01,000208,2017-02-08,2019-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,0000728535,4213,484121
024197,01,000208,2017-03-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,IDEXX LABS INC,IDXX,45168D104,0000874716,2835,325413
149318,01,000208,2017-04-27,2019-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,WYNN RESORTS LTD,WYNN,983134107,0001174922,7990,721120
178081,01,000208,2017-06-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MERCADOLIBRE INC,MELI,58733R102,0001099590,5960,455219
141384,01,000208,2017-10-30,2023-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALIGN TECHNOLOGY INC,ALGN,016255101,0001097149,3843,339114
013421,01,000208,2017-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CADENCE DESIGN SYSTEMS INC,CDNS,127387108,0000813672,7372,513210
015044,01,000208,2017-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,WORKDAY INC,WDAY,98138H101,0001327811,7370,518210
024975,01,000208,2017-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYNOPSYS INC,SNPS,871607107,0000883241,7372,511210
061214,90,000208,2017-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ASML HOLDING NV,ASML,N07059210,0000937966,3559,333242
064630,01,000208,2017-12-18,2020-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,TAKE-TWO INTERACTIVE SFTWR,TTWO,874054109,0000946581,7372,513210
008479,01,000208,2018-07-24,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PEPSICO INC,PEP,713448108,0000077476,2080,31211
184725,01,000208,2018-11-07,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NXP SEMICONDUCTORS NV,NXPI,N6596X109,0001413447,3674,334413
007977,01,000208,2018-11-29,,Nasdaq 100,LGCAP,I0028,,,EXCHG,XCEL ENERGY INC,XEL,98389B100,0000072903,4931,2211
001161,01,000208,2018-12-28,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,334413
